,selling_price,km_driven,fuel,transmission,owner,mileage,engine,max_power,seats,torque_1,Age,seller_type_Individual,seller_type_Trustmark Dealer
45,1500000,77000,4,1,5,12.55,2982.0,168.5,7.0,343.0,8,0,0
46,700000,99000,4,1,5,12.99,2494.0,100.0,7.0,200.0,9,0,0
47,1450000,27800,4,2,4,14.8,2143.0,120.7,5.0,200.0,8,0,0
48,425000,49800,4,1,5,24.7,1498.0,98.63,5.0,200.0,7,0,0
49,1090000,151000,4,1,5,13.5,2477.0,175.56,7.0,400.0,9,0,0
50,600000,54700,4,1,5,26.0,1498.0,98.6,5.0,200.0,7,0,0
51,850000,64000,1,1,5,20.65,1462.0,103.25,5.0,138.0,4,0,0
52,525000,63000,4,1,5,27.3,1498.0,98.6,5.0,200.0,7,0,0
53,1650000,127700,4,2,4,11.36,2755.0,171.5,7.0,360.0,6,0,0
54,950000,99000,4,1,5,12.99,2494.0,100.6,7.0,200.0,6,0,0
55,1750000,33900,4,2,4,17.68,1968.0,174.33,5.0,380.0,9,0,0
56,1590000,25000,1,2,5,14.28,1798.0,138.03,5.0,173.0,4,0,0
57,1689999,50000,4,2,5,18.53,1968.0,187.74,5.0,400.0,9,0,0
58,1425000,59000,4,2,5,14.84,2143.0,170.0,5.0,400.0,9,0,0
59,265000,120000,4,1,5,21.12,1248.0,88.8,5.0,200.0,11,1,0
60,190000,110000,1,1,3,20.36,1197.0,78.9,5.0,111.7,11,1,0
61,425000,60000,4,1,5,21.27,1396.0,88.76,5.0,219.6,9,1,0
62,630000,147000,4,1,4,26.59,1248.0,74.0,5.0,190.0,7,1,0
63,600000,25000,1,1,3,18.16,1196.0,86.8,5.0,112.0,5,1,0
64,650000,30000,1,1,5,21.4,1197.0,83.1,5.0,115.0,3,1,0
65,540000,40000,4,1,5,22.0,1498.0,108.495,5.0,250.0,6,1,0
66,630000,135000,4,1,5,25.1,1498.0,98.6,5.0,200.0,7,1,0
67,448000,30000,1,2,5,20.51,998.0,67.0,5.0,90.0,4,1,0
68,500000,80000,4,1,5,21.66,1498.0,108.62,5.0,250.0,5,1,0
69,745000,70000,4,1,5,24.3,1248.0,88.5,5.0,200.0,6,1,0
70,1025000,9850,4,2,5,24.3,1248.0,88.5,5.0,200.0,3,1,0
71,235000,60000,1,1,4,20.36,1197.0,78.9,5.0,111.7,11,1,0
72,630000,70000,4,1,5,25.2,1248.0,74.0,5.0,190.0,6,1,0
73,1700000,78000,4,1,4,12.55,2982.0,168.5,7.0,343.0,7,1,0
74,450000,120000,4,1,4,22.9,1248.0,74.0,5.0,190.0,9,1,0
75,450000,120000,1,1,4,16.02,1373.0,93.7,7.0,130.0,10,1,0
76,450000,170000,4,1,5,20.54,1598.0,103.6,5.0,250.0,9,1,0
77,1200000,140000,4,1,5,12.99,2494.0,100.6,8.0,200.0,6,1,0
78,610000,90000,4,1,5,22.77,1498.0,98.59,5.0,205.0,7,1,0
79,2500000,30000,1,2,4,15.71,1998.0,189.0,5.0,280.0,6,1,0
80,484999,10000,1,1,5,23.1,998.0,67.04,5.0,90.0,5,0,0
81,275000,49000,1,1,5,19.02,1198.0,67.05,5.0,104.0,6,0,0
82,315000,32000,1,1,5,24.7,796.0,47.3,5.0,69.0,6,0,0
83,275000,38000,1,1,5,24.7,796.0,47.3,5.0,69.0,6,0,0
84,290000,28000,1,1,5,19.81,1086.0,68.05,5.0,99.04,10,0,0
85,280000,32000,1,1,5,14.0,796.0,35.0,5.0,59.841,5,0,0
86,225000,44000,2,1,5,26.2,998.0,58.2,5.0,77.0,12,0,0
87,455000,42000,1,1,5,16.47,1198.0,74.0,5.0,110.0,7,0,0
88,351000,45000,1,1,4,19.81,1086.0,68.05,5.0,99.04,7,0,0
89,535000,12000,1,1,4,15.04,1598.0,103.6,5.0,153.0,10,0,0
90,175000,55500,1,1,5,18.2,998.0,67.1,5.0,90.0,13,0,0
91,525000,61500,1,1,5,18.5,1197.0,82.85,5.0,113.7,9,0,0
92,600000,150000,4,1,5,26.59,1248.0,74.0,5.0,190.0,6,1,0
93,565000,72000,1,2,5,19.1,1197.0,82.0,5.0,114.0,6,0,0
94,120000,68000,1,1,3,19.7,796.0,46.3,5.0,62.0,14,0,0
95,725000,110000,4,1,5,22.54,1396.0,88.73,5.0,219.7,5,1,0
96,185000,77000,1,1,4,21.79,998.0,67.05,5.0,90.0,13,0,0
97,200000,100000,4,1,4,18.8,1248.0,90.0,5.0,200.0,12,1,0
98,615000,10000,1,1,5,21.21,1197.0,81.8,5.0,113.0,3,1,0
99,270000,100000,1,1,3,15.37,1196.0,73.0,7.0,101.0,6,1,0
100,610000,35000,1,1,5,21.4,1197.0,83.1,5.0,115.0,4,1,0
101,625000,70000,4,2,4,11.79,2179.0,120.0,8.0,290.0,8,1,0
102,400000,5000,1,1,4,19.0,1194.0,94.68,5.0,120.0,2,1,0
103,866000,37800,1,1,5,17.0,1591.0,121.3,5.0,151.0,5,1,0
104,700000,114000,1,1,5,14.3,1798.0,160.0,5.0,250.0,12,1,0
105,300000,48000,1,1,5,15.8,1172.0,65.0,5.0,96.0,12,1,0
106,1700000,32000,4,1,5,15.1,2179.0,155.0,7.0,360.0,3,1,0
107,375000,100000,4,1,5,19.09,1405.0,69.01,5.0,135.0,6,1,0
108,522000,150000,4,1,4,22.32,1582.0,126.32,5.0,259.8,9,1,0
109,451999,69000,4,1,5,21.9,1396.0,88.76,5.0,219.6,9,1,0
110,300000,100000,1,1,4,14.53,1798.0,138.1,5.0,173.0,13,1,0
111,475000,13000,1,1,5,21.63,998.0,67.04,5.0,90.0,2,1,0
112,780000,60000,4,1,5,24.3,1248.0,88.5,5.0,200.0,6,1,0
113,595000,40000,1,1,5,20.85,1197.0,83.14,5.0,115.0,5,1,0
114,440000,35000,1,1,5,20.51,998.0,67.04,5.0,90.0,5,1,0
115,400000,70000,4,1,3,20.45,1461.0,83.8,5.0,200.0,8,1,0
116,1140000,50000,4,1,5,19.67,1582.0,126.2,5.0,259.9,6,1,0
117,850000,76139,4,1,5,23.0,1498.0,98.96,5.0,205.0,5,1,0
118,370000,175000,4,1,2,19.3,1248.0,73.9,5.0,190.0,10,1,0
119,350000,25000,1,1,5,23.01,999.0,67.0,5.0,91.0,4,1,0
120,360000,40000,1,1,4,23.1,998.0,67.04,5.0,90.0,7,1,0
121,105000,65000,1,1,2,19.7,796.0,46.3,5.0,62.0,14,1,0
122,625000,90000,4,1,4,20.77,1248.0,88.76,7.0,200.0,9,1,0
123,135000,80000,1,1,4,17.92,1086.0,62.1,5.0,96.1,13,1,0
124,700000,110000,4,1,4,20.77,1248.0,88.76,7.0,200.0,7,1,0
125,690000,1303,1,1,5,17.8,1198.0,86.7,5.0,109.0,3,0,0
126,3975000,31800,4,2,5,17.01,1968.0,188.0,5.0,400.0,4,0,0
127,5150000,20000,1,2,5,22.37,2487.0,214.56,5.0,202.0,3,0,0
128,3200000,45000,4,2,5,19.33,1999.0,177.0,5.0,430.0,5,0,0
129,4100000,17000,1,2,5,9.5,3604.0,280.0,5.0,347.0,5,1,0
130,4500000,21000,4,2,5,12.83,1999.0,148.31,7.0,382.0,3,0,0
131,6000000,37000,4,2,5,13.5,2987.0,254.79,5.0,620.0,5,0,0
132,3790000,29500,4,2,5,22.48,1995.0,187.74,5.0,400.0,4,0,0
133,5800000,7500,4,2,5,16.78,1995.0,190.0,5.0,400.0,3,0,0
134,1864999,50000,1,2,5,14.67,1798.0,177.46,5.0,250.0,4,0,0
135,2700000,35000,4,2,5,15.0,2143.0,204.0,5.0,500.0,6,0,0
136,1750000,19000,1,2,5,13.96,1451.0,141.0,5.0,250.0,3,0,0
137,795000,41000,1,2,5,18.0,1497.0,117.6,5.0,145.0,5,0,0
138,625000,39000,1,2,5,14.28,1798.0,138.03,5.0,173.0,9,0,0
139,3400000,22000,4,2,5,18.0,1969.0,190.0,5.0,400.0,4,0,0
140,2650000,53000,4,2,5,12.07,2967.0,241.4,7.0,550.0,7,0,0
141,535000,40000,4,1,5,26.21,1248.0,88.5,5.0,200.0,7,0,0
142,5850000,47000,4,2,5,13.5,2987.0,282.0,5.0,490.0,5,0,0
143,975000,72200,1,2,4,10.8,2497.0,150.0,5.0,250.0,12,0,0
144,805000,49900,1,1,5,16.3,1797.0,147.5,5.0,177.5,6,0,0
145,2625000,9000,4,2,5,13.6,1999.0,177.0,5.0,430.0,5,0,0
146,811000,11000,1,1,5,17.0,1198.0,108.5,5.0,170.0,4,0,0
147,375000,49000,1,1,5,15.04,1598.0,103.6,5.0,153.0,11,1,0
148,550000,95000,1,1,5,16.3,1797.0,147.5,5.0,177.5,10,1,0
149,645000,11000,1,2,5,14.3,1598.0,103.5,5.0,153.0,6,0,0
150,2550000,18000,1,2,5,15.04,1991.0,183.0,5.0,300.0,4,0,0
151,599000,46100,1,1,5,16.02,1373.0,93.7,7.0,130.0,8,0,0
152,2700000,16000,1,2,5,14.74,1991.0,181.04,5.0,300.0,5,0,0
153,875000,18000,1,2,5,15.6,1497.0,116.3,5.0,146.0,5,0,0
154,894999,9654,1,2,5,19.56,1197.0,81.8,5.0,113.0,3,0,0
155,175000,11000,1,1,5,23.95,998.0,67.05,5.0,90.0,11,0,0
156,340000,24300,1,1,5,21.21,1197.0,81.8,5.0,113.0,10,0,0
157,1525000,42163,4,2,4,11.36,2755.0,171.5,7.0,360.0,6,0,0
158,1025000,8000,4,2,5,21.5,1497.0,108.5,5.0,260.0,4,0,0
159,2150000,30000,4,2,5,22.69,1995.0,190.0,5.0,400.0,6,0,0
160,1900000,41000,1,2,5,19.16,2494.0,157.7,5.0,213.0,6,0,0
161,2900000,12000,4,2,5,18.12,1995.0,190.0,5.0,400.0,6,0,0
162,450000,71000,1,2,5,12.1,2362.0,164.7,5.0,224.0,13,0,0
163,850000,20000,1,1,5,17.5,1373.0,91.1,7.0,130.0,6,1,0
164,10000000,30000,1,2,5,42.0,1969.0,400.0,4.0,640.0,5,1,0
165,300000,100000,4,1,4,20.54,1598.0,103.6,5.0,250.0,11,1,0
166,575000,9500,1,1,5,18.16,1196.0,86.8,5.0,112.0,4,1,0
167,160000,120000,4,1,5,20.0,1399.0,68.0,5.0,160.0,11,1,0
168,515000,36600,1,1,5,20.4,1197.0,81.8,5.0,113.0,7,1,0
169,390000,50000,1,2,4,20.51,998.0,67.0,5.0,90.0,7,1,0
170,550000,14000,1,1,4,18.6,1197.0,81.83,5.0,114.7,6,1,0
171,40000,40000,1,1,4,16.1,796.0,37.0,4.0,59.0,23,1,0
172,220000,120000,4,1,5,21.1,1248.0,73.9,5.0,113.0,12,1,0
173,425000,70000,1,1,5,18.9,1197.0,82.0,5.0,114.0,7,1,0
174,480000,13000,1,1,5,19.44,999.0,75.0,5.0,95.0,3,1,0
175,400000,60000,1,1,4,18.9,1197.0,82.0,5.0,114.0,8,1,0
176,487000,35000,1,1,5,19.1,1197.0,85.8,5.0,114.0,8,1,0
177,386000,44000,1,1,4,19.1,1197.0,82.0,5.0,114.0,6,1,0
178,100000,120000,1,1,4,13.0,1493.0,100.0,5.0,128.511,17,1,0
179,300000,60000,4,1,5,21.43,1364.0,87.2,5.0,205.0,12,1,0
180,100000,60000,1,1,5,18.5,796.0,53.0,5.0,71.0,22,1,0
181,1750000,30000,4,1,4,13.0,2982.0,168.5,7.0,343.0,8,1,0
182,450000,15000,1,1,4,18.15,1198.0,82.0,6.0,115.0,6,1,0
183,490000,90000,4,1,5,22.95,1248.0,74.0,5.0,190.0,5,1,0
184,345000,47000,1,1,4,17.0,1497.0,118.0,5.0,146.0,13,1,0
185,85000,90000,1,1,5,17.3,993.0,60.0,5.0,78.0,17,1,0
186,215000,120600,1,1,4,18.9,998.0,67.1,5.0,90.0,12,1,0
187,320000,100000,1,1,3,16.2,1599.0,103.2,5.0,146.169,12,1,0
188,459999,60000,1,1,4,20.85,1197.0,83.14,5.0,115.0,6,1,0
189,65000,86000,1,1,5,15.3,1341.0,83.0,5.0,115.0,17,1,0
190,720000,5000,1,1,5,18.6,1197.0,81.86,5.0,117.0,2,1,0
191,800000,37000,4,1,5,28.09,1248.0,88.5,5.0,200.0,5,1,0
192,520000,14000,1,1,5,20.3,1199.0,84.0,5.0,114.0,3,1,0
193,580000,70000,4,1,5,20.77,1248.0,88.76,7.0,200.0,7,1,0
194,600000,50000,1,1,5,17.4,1497.0,117.3,5.0,145.0,7,1,0
195,290000,60000,1,1,4,19.4,1198.0,86.8,5.0,109.0,8,1,0
196,360000,50000,3,1,5,26.6,998.0,58.16,5.0,77.0,6,1,0
197,550000,50000,1,1,5,20.85,1197.0,83.14,5.0,115.0,5,1,0
198,375000,70000,1,1,5,18.5,1197.0,82.85,5.0,113.7,9,1,0
199,420000,35000,1,2,5,20.51,998.0,67.0,5.0,90.0,4,1,0
200,550000,20000,1,1,5,21.21,1197.0,81.8,5.0,113.0,5,1,0
201,270000,20000,1,1,5,24.7,796.0,47.3,5.0,69.0,4,1,0
202,700000,7800,1,2,5,22.0,1197.0,81.8,5.0,113.0,4,1,0
203,500000,20000,1,1,5,20.4,1197.0,81.8,5.0,113.0,5,1,0
204,1250000,15000,4,1,5,17.6,2179.0,147.94,7.0,320.0,3,1,0
205,320000,31377,1,1,4,18.5,1197.0,82.85,5.0,113.7,9,1,0
206,700000,50000,4,1,5,28.4,1248.0,74.02,5.0,190.0,4,1,0
207,290000,60000,1,1,5,20.51,998.0,67.04,5.0,90.0,7,1,0
208,550000,100000,1,2,5,14.53,1794.0,138.1,5.0,173.0,10,1,0
209,265000,60000,1,1,5,19.4,1198.0,86.8,5.0,109.0,10,1,0
210,830000,5000,1,2,5,21.4,1197.0,83.1,5.0,115.0,4,1,0
211,800000,60000,4,1,5,14.1,2179.0,147.94,7.0,320.0,5,1,0
212,160000,25000,1,1,4,19.7,796.0,46.3,5.0,62.0,11,1,0
213,335000,30000,1,1,5,25.17,799.0,53.3,5.0,72.0,4,1,0
214,329000,80000,1,1,4,20.63,1198.0,67.0,5.0,104.0,5,1,0
215,775000,75000,4,1,5,24.3,1248.0,88.5,5.0,200.0,5,1,0
216,524000,32000,1,1,5,20.14,1197.0,81.86,5.0,113.75,2,1,0
217,245000,40000,1,1,5,22.74,796.0,47.3,5.0,69.0,7,1,0
218,275000,93000,1,1,4,17.0,1197.0,80.0,5.0,111.834,10,1,0
219,520000,60000,1,1,5,17.57,1193.0,88.7,5.0,140.0,4,1,0
220,550000,37000,1,1,5,16.95,1498.0,97.7,5.0,134.0,8,1,0
221,910000,15000,1,1,5,17.0,1497.0,121.36,5.0,150.0,4,1,0
222,300000,80000,1,1,5,19.49,1198.0,67.04,5.0,104.0,7,1,0
223,350000,140000,1,1,5,20.51,998.0,67.04,5.0,90.0,6,1,0
224,900000,70000,4,1,5,12.83,2696.0,162.0,7.0,340.0,9,1,0
225,300000,120000,4,1,4,17.21,1493.0,100.0,7.0,240.0,9,1,0
226,250000,110000,4,1,4,21.1,1248.0,73.9,5.0,190.0,12,1,0
227,1100000,37000,4,1,5,19.67,1582.0,126.2,5.0,259.9,5,1,0
228,270000,44000,1,1,5,25.17,799.0,53.3,5.0,72.0,6,1,0
229,640000,80000,4,1,5,20.77,1248.0,88.76,7.0,200.0,7,1,0
230,650000,125000,4,1,5,15.1,2179.0,140.0,7.0,330.0,7,1,0
231,409999,13500,1,1,5,15.37,1196.0,73.0,5.0,101.0,5,1,0
232,165000,75000,1,1,5,17.92,1086.0,62.1,5.0,96.1,11,1,0
233,80000,120000,1,1,4,13.2,1495.0,94.0,5.0,122.625,15,1,0
234,535000,120000,4,1,5,15.1,2179.0,140.0,7.0,330.0,10,1,0
235,700000,70000,4,1,5,12.99,2494.0,100.57,7.0,200.0,9,1,0
236,550000,70000,4,1,5,23.4,1248.0,74.0,5.0,190.0,9,1,0
237,680000,15000,1,2,5,19.0,1199.0,88.76,5.0,110.0,3,1,0
238,200000,53000,1,1,4,20.36,1197.0,78.9,5.0,111.8,13,1,0
239,500000,120000,4,1,4,23.4,1248.0,74.0,5.0,190.0,8,1,0
240,1000000,70000,4,1,5,24.52,1248.0,88.5,7.0,200.0,6,1,0
241,110000,120000,1,1,4,14.2,1341.0,82.9,5.0,115.758,14,1,0
242,320000,100000,1,1,4,18.5,1197.0,80.0,5.0,111.834,10,1,0
243,350000,100000,1,1,5,20.4,1197.0,83.11,5.0,113.0,7,1,0
244,170000,162500,4,1,5,19.4,1405.0,70.0,5.0,135.4,9,1,0
245,800000,39000,4,1,5,22.54,1396.0,88.73,5.0,219.7,5,1,0
246,500000,75000,4,1,5,26.8,1248.0,74.0,5.0,190.0,5,1,0
247,1380000,50000,4,2,5,17.6,2179.0,153.86,7.0,400.0,5,1,0
248,1300000,40000,4,1,5,17.3,1497.0,121.0,8.0,300.0,3,1,0
249,530000,92500,4,1,5,22.32,1582.0,126.3,5.0,259.9,9,1,0
250,360000,158000,4,1,5,23.4,1248.0,74.0,5.0,190.0,10,1,0
251,310000,120000,4,1,5,19.3,1248.0,73.9,5.0,190.0,10,1,0
252,725000,50000,4,1,4,26.0,1498.0,98.6,5.0,200.0,7,1,0
253,340000,110000,4,1,5,19.3,1248.0,73.9,5.0,190.0,10,1,0
254,550000,2000,4,1,4,25.4,1186.0,73.97,5.0,190.25,5,1,0
255,1150000,181000,4,1,4,11.5,2982.0,171.0,7.0,343.0,11,1,0
256,380000,70000,4,1,5,27.28,1047.0,69.0,5.0,140.0,6,1,0
257,350000,90000,1,2,4,17.97,1498.0,99.6,5.0,134.0,9,1,0
258,610000,2000,1,1,5,18.6,1197.0,81.86,5.0,117.0,3,1,0
259,525000,20000,1,1,5,20.85,1197.0,83.14,5.0,115.0,7,1,0
260,480000,120000,4,1,5,12.8,2494.0,102.0,7.0,200.124,11,1,0
261,780000,35000,4,1,5,16.55,2498.0,105.0,6.0,247.0,5,1,0
262,320000,193000,4,1,5,19.3,1248.0,73.9,5.0,190.0,10,1,0
263,375000,80000,1,1,5,20.4,1197.0,81.8,5.0,113.0,8,1,0
264,300000,40000,1,1,5,19.02,1198.0,67.05,5.0,104.0,3,1,0
265,500000,70000,4,1,2,22.54,1396.0,88.73,5.0,219.7,7,1,0
266,404000,122358,4,1,5,12.05,2179.0,120.0,9.0,290.0,11,1,0
267,500000,75000,4,1,5,14.07,2956.0,69.01,7.0,223.0,7,1,0
268,350000,120000,4,1,5,27.28,1047.0,69.0,5.0,140.0,5,1,0
269,380000,40000,1,1,5,17.57,1193.0,88.7,5.0,140.0,7,1,0
270,114999,95200,1,1,3,13.2,1495.0,94.0,5.0,122.625,14,1,0
271,335000,33033,1,1,5,19.4,1198.0,86.8,5.0,109.0,8,0,0
272,465000,63063,1,2,5,18.9,1197.0,82.0,5.0,114.0,7,0,0
273,290000,60000,4,1,5,21.02,1248.0,88.76,5.0,200.0,10,1,0
274,110000,45000,1,1,4,19.7,796.0,46.3,5.0,62.0,17,1,0
275,450000,80000,4,1,3,11.57,2179.0,138.1,7.0,320.0,11,1,0
276,400000,170000,4,1,4,13.6,2523.0,63.0,7.0,180.0,13,1,0
277,210000,207890,4,1,4,13.6,2523.0,63.0,7.0,180.0,15,1,0
278,4600000,7976,4,2,5,17.9,2143.0,170.0,5.0,400.0,4,1,0
279,220000,35000,1,1,5,16.8,796.0,34.2,8.0,59.0,6,1,0
280,450000,35000,1,1,5,18.9,1197.0,82.0,5.0,114.0,5,1,0
281,450000,35000,1,1,5,18.9,1197.0,82.0,5.0,114.0,5,1,0
282,290000,50000,1,2,5,16.95,1197.0,78.9,5.0,111.8,9,1,0
283,520000,20000,1,1,5,20.4,1197.0,81.8,5.0,113.0,6,1,0
284,265000,20000,1,2,5,16.95,1197.0,78.9,5.0,111.8,11,1,0
285,330000,50000,1,1,4,18.6,1197.0,85.8,5.0,114.0,10,1,0
286,330000,50000,1,1,4,18.6,1197.0,85.8,5.0,114.0,10,1,0
287,509999,120000,4,1,5,15.96,2523.0,62.1,7.0,195.0,8,1,0
288,500000,70000,1,1,5,17.1,1591.0,121.3,5.0,154.9,8,1,0
289,525000,50000,1,1,5,17.19,1197.0,81.86,5.0,114.73,7,1,0
290,675000,16500,1,1,5,21.01,1197.0,81.8,5.0,113.0,3,1,0
291,300000,70000,1,1,5,17.0,1197.0,80.0,5.0,111.834,12,1,0
292,90000,99361,1,1,4,19.7,796.0,46.3,5.0,62.0,17,1,0
293,650000,25000,4,1,5,26.59,1248.0,74.0,5.0,190.0,5,1,0
294,409000,70000,1,1,4,19.1,1197.0,85.8,5.0,114.0,8,1,0
295,395000,80000,4,1,4,24.0,1120.0,70.0,5.0,160.0,7,1,0
296,400000,70000,1,1,4,19.1,1197.0,85.8,5.0,114.0,8,1,0
297,120000,60000,1,1,3,18.6,1199.0,79.4,5.0,108.0,10,1,0
298,645000,10000,1,2,5,20.3,1199.0,84.0,5.0,114.0,4,1,0
299,81000,80000,1,1,5,16.1,796.0,37.0,4.0,59.0,16,1,0
300,1300000,30000,4,1,5,25.6,1498.0,97.9,5.0,200.0,5,1,0
301,1250000,33000,4,1,5,25.6,1498.0,97.9,5.0,200.0,5,1,0
302,535000,90000,1,1,3,16.02,1373.0,93.7,7.0,130.0,9,1,0
303,555000,80100,4,1,4,19.01,1461.0,108.5,5.0,248.0,8,1,0
304,725000,120000,1,1,5,17.4,1497.0,117.3,5.0,145.0,8,1,0
305,229999,40000,1,1,5,25.17,799.0,53.3,5.0,72.0,6,1,0
306,800000,160000,4,1,4,12.99,2494.0,100.6,8.0,200.0,9,1,0
307,409999,47000,1,1,5,20.51,998.0,67.04,5.0,90.0,5,1,0
308,1210000,25000,4,1,5,21.38,1396.0,88.7,5.0,219.7,4,1,0
309,400000,26000,1,1,5,23.84,1199.0,84.0,5.0,114.0,5,1,0
310,520000,29000,4,1,5,24.0,1186.0,73.97,5.0,190.24,4,1,0
311,650000,50000,1,2,5,21.4,1197.0,83.1,5.0,115.0,6,1,0
312,325000,58000,1,1,3,16.1,1298.0,88.2,5.0,112.815,11,1,0
313,420000,120000,1,2,5,17.4,1197.0,85.8,5.0,114.0,10,1,0
314,400000,50000,1,1,5,20.4,1197.0,81.8,5.0,113.0,8,1,0
315,254999,80000,1,1,2,17.0,1197.0,80.0,5.0,111.834,12,1,0
316,65000,60000,1,1,2,17.3,993.0,60.0,5.0,78.0,19,1,0
317,351000,36000,1,1,5,23.1,998.0,67.04,5.0,90.0,5,1,0
318,404000,120000,4,1,3,12.8,2494.0,102.0,8.0,200.124,15,1,0
319,185000,185000,4,1,3,21.1,1248.0,73.9,5.0,190.0,11,1,0
320,250000,50000,4,1,5,23.08,1461.0,63.1,5.0,160.0,11,1,0
321,60000,100000,1,1,2,17.3,993.0,60.0,5.0,78.0,20,1,0
322,500000,50000,1,1,4,17.1,1591.0,121.3,5.0,154.9,9,1,0
323,85000,80000,1,1,4,18.2,998.0,67.1,5.0,90.0,15,1,0
324,85000,80000,1,1,2,19.7,796.0,46.3,5.0,62.0,17,1,0
325,265000,90000,4,1,2,19.3,1248.0,73.9,5.0,190.0,11,1,0
326,130000,162000,1,1,4,19.0,998.0,66.1,5.0,90.0,12,1,0
327,480000,110000,4,1,3,20.77,1248.0,88.76,7.0,200.0,9,1,0
328,170000,120000,4,1,3,17.8,1248.0,75.0,5.0,190.0,14,1,0
329,275000,45000,4,1,5,23.08,1461.0,63.1,5.0,160.0,11,1,0
330,89000,90000,1,1,4,18.9,998.0,67.1,5.0,90.0,17,1,0
331,170000,90000,4,1,4,20.0,1399.0,68.0,5.0,160.0,12,1,0
332,1090000,16500,1,1,5,17.0,1197.0,110.0,5.0,200.0,3,0,0
333,1100000,67000,4,2,5,17.01,1582.0,126.2,5.0,259.9,5,1,0
334,610000,52000,1,1,5,22.0,1197.0,81.8,5.0,113.0,4,0,0
335,335000,40000,1,1,5,20.63,1198.0,67.0,5.0,104.0,6,0,0
336,434999,40000,1,1,5,18.9,1197.0,82.0,5.0,114.0,7,0,0
337,3000000,35000,4,1,5,14.24,2755.0,174.5,7.0,420.0,4,1,0
